T_amb [deg C],T [deg C],m_turbine [kg/s],Net Output [MWh],T_inj [deg C],power_output [MWh/kg]
15,210,80,8.6,60,2.98611E-05
10,210,80,8.8,59.954,3.05556E-05
5,210,80,8.9,58.242,3.09028E-05
20,210,80,8.1,64.186,0.000028125
25,210,80,7.5,67.919,2.60417E-05
30,210,80,7.1,70.003,2.46528E-05
15,220,80,9.3,66.737,3.22917E-05
15,230,80,10,70.524,3.47222E-05
15,240,80,10.6,77.805,3.68056E-05
15,250,80,11.1,85.385,3.85417E-05
15,260,80,11.6,93.226,4.02778E-05
15,270,80,12.1,101.31,4.20139E-05
15,280,80,12.6,109.66,0.00004375
15,200,80,7.9,56.87,2.74306E-05
15,190,80,7.1,53.809,2.46528E-05
15,180,80,6.2,51.276,2.15278E-05
15,210,90,9.4,70.479,2.90123E-05
15,210,100,10,81.915,2.77778E-05
15,210,110,10.4,91.677,2.62626E-05
15,210,120,10.8,100.07,0.000025
15,210,70,7.6,51.267,3.01587E-05
15,210,60,6.5,40.629,3.00926E-05
15,210,50,5.2,35.239,2.88889E-05
15,210,40,3.9,42.934,2.70833E-05
